Ticker;Sektor;Syariah;MktCap;ROE;ROA;NPM
STTP;Consumer Non-Cyclicals;ya;12.641.500.000.000;16,12;14,74;22,54
CNMA;Consumer Cyclicals;ya;8.667.880.000.000;16,24;10,42;12,03
ULTJ;Consumer Non-Cyclicals;ya;17.572.916.088.000;16,27;14,62;15,43
CLEO;Consumer Non-Cyclicals;ya;9.360.000.000.000;16,51;12,65;13,51
SUPR;Infrastructures;ya;49.882.869.757.300;16,51;13,04;69,32
CPIN;Consumer Non-Cyclicals;ya;65.755.980.000.000;16,53;12,31;7,98
MIKA;Healthcare;ya;26.771.901.887.500;16,7;14,73;25,42
BBRI;Financials;tidak;448.629.800.645.130;17,12;2,65;23,91
HEXA;Industrials;ya;3.729.600.000.000;17,17;6,68;7,19
BMRI;Financials;tidak;405.635.999.982.440;17,19;1,99;28,31
MIDI;Consumer Non-Cyclicals;ya;11.501.741.411.200;17,45;8,68;3,84
AMRT;Consumer Non-Cyclicals;tidak;54.812.342.244.000;17,6;8,01;2,69
IMPC;Industrials;ya;121.893.540.000.000;18,25;11,68;14,52
AVIA;Basic Materials;ya;23.914.072.461.600;18,32;15,77;21,51
CSRA;Consumer Non-Cyclicals;ya;1.865.500.000.000;18,32;10,66;14,23
NCKL;Basic Materials;ya;65.938.037.000.000;18,43;13,64;35,65
IPCC;Infrastructures;ya;2.391.176.038.300;18,85;12,46;27,58
WIIM;Consumer Non-Cyclicals;tidak;4.000.259.512.800;18,93;13,08;6,57
MAPA;Consumer Cyclicals;ya;17.387.440.000.000;19,46;12,14;8,93
ANTM;Basic Materials;ya;89.875.060.071.500;19,7;13,72;8,52
DLTA;Consumer Non-Cyclicals;tidak;1.601.318.100.000;19,82;13,31;22,23
JPFA;Consumer Non-Cyclicals;ya;29.081.906.498.480;20;9,99;6,59
BBCA;Financials;tidak;713.947.452.075.000;20,43;3,63;54,78
ARNA;Industrials;ya;3.626.666.902.144;20,7;13,89;13,74
AADI;Energy;ya;90.327.944.416.000;20,83;13,32;15,48
KEJU;Consumer Non-Cyclicals;ya;3.065.624.999.455;21,23;14,34;11,91
CUAN;Energy;tidak;134.902.680.000.000;21,48;5;11,07
DRMA;Consumer Cyclicals;ya;4.611.764.654.000;22,23;15,22;10,99
SUNI;Energy;ya;1.550.000.000.000;22,43;17,31;19,71
JTPE;Industrials;ya;4.316.791.500.000;23,21;12,74;12,63
SOHO;Healthcare;ya;24.431.488.600.750;23,24;9,75;5,57
HMSP;Consumer Non-Cyclicals;tidak;87.238.557.675.000;23,31;12,82;5,89
MSTI;Technology;ya;4.238.211.870.000;23,96;15,86;10,07
ADES;Consumer Non-Cyclicals;ya;11.827.430.840.000;24,71;20,78;27,19
MERK;Healthcare;ya;1.881.600.000.000;25;19,17;20,31
ATIC;Technology;ya;1.261.871.938.475;25,87;3,98;2,46
SMSM;Consumer Cyclicals;ya;10.365.615.792.000;26,11;21,78;21,07
MDIY;Consumer Cyclicals;ya;21.915.641.040.000;26,32;14,55;14
RATU;Energy;ya;16.765.457.215.000;26,97;20,08;30,95
BYAN;Energy;ya;380.000.019.000.000;28,5;22,75;22,4
TRIM;Financials;tidak;4.052.301.000.000;28,6;8,69;35,33
CMRY;Consumer Non-Cyclicals;ya;33.643.055.920.000;29,96;23,26;18,96
HRTA;Consumer Cyclicals;tidak;12.618.418.976.000;30,29;7,76;2,2
TLDN;Consumer Non-Cyclicals;ya;8.091.581.375.000;30,36;18,39;20,41
BSSR;Energy;ya;10.413.670.000.000;30,76;22,69;11,93
PALM;Consumer Non-Cyclicals;ya;5.758.232.051.628;31,1;20,09;17759
TOTL;Infrastructures;ya;4.074.950.000.000;31,15;10,25;10,62
MARK;Industrials;ya;3.097.000.252.650;31,45;27,76;33,9
TAPG;Consumer Non-Cyclicals;ya;41.690.334.000.000;31,68;25,19;32,47
SKRN;Industrials;ya;3.615.000.000.000;32,53;14,28;25,46
PBSA;Infrastructures;ya;3.450.000.000.000;34,42;22,49;20,1
NICK;Financials;tidak;794.403.000.000;34,76;34,43;98,31
GEMS;Energy;ya;46.617.647.525.000;36,44;21,58;10,7
YUPI;Consumer Non-Cyclicals;;13.414.847.259.000;39,32;21,17;20,88
SIDO;Healthcare;ya;15.000.000.000.000;39,39;33,39;30,13
SSMS;Consumer Non-Cyclicals;tidak;13.144.500.000.000;39,46;8,54;7,84
MLPT;Technology;ya;40.406.250.000.000;44,21;8,98;8,77
PBRX;Consumer Cyclicals;tidak;816.317.073.348;44,34;12,55;9,6
NICL;Basic Materials;ya;9.306.189.293.625;44,36;39,45;23,38
KRAS;Basic Materials;tidak;5.610.455.101.000;44,86;11,77;33,91
DWGL;Energy;ya;2.553.778.593.516;44,93;11,23;6,43
DEWA;Energy;ya;20.180.967.385.024;50,13;25,73;67,37
DAYA;Consumer Non-Cyclicals;ya;2.602.088.051.875;54;5,94;2,66
MLBI;Consumer Non-Cyclicals;tidak;12.273.275.000.000;87,14;34,23;33,4
UNVR;Consumer Non-Cyclicals;ya;58.560.250.000.000;170,75;38,17;23,92
LPPF;Consumer Cyclicals;ya;3.680.995.226.400;265,8;14,12;12,54
VIVA;Consumer Cyclicals;tidak;856.142.060.800;1470,86;86,38;786,5
