Ticker,Sektor,Syariah,MktCap,Value_MA20,ROE,ROA,NPM,CAR,NPL,EPS_5Y,DPS_5Y,FCF_5Y,PR_5Y,DY_5Y,ICR,DebtEBITDA,Median_PER_3Y,Median_PBV_3Y
EMTK,Technology,tidak,50.676.822.473.475,26282174196.66443,12.72,11.17,35.51,,,,,,,,,,12.101348513255012,1.5632451910338614
ENRG,Energy,ya,44.788.591.425.000,88214729775.0,11.13,5.02,18.38,,,,,,,,,,9.458133096322559,12733.079698350695
ERAA,Consumer Cyclicals,ya,5.965.300.000.000,8299616230.0,13.2,4.58,6.45,,,,,,,,,,9.188353289874676,1.498287084113258
FORE,Consumer Non-Cyclicals,ya,8.338.665.917.450,8234001050.0,13.24,7.77,6.02,,,,,,,,,,10.097954290190295,1.6197793744507782
GJTL,Consumer Cyclicals,ya,4.164.336.000.000,5367873986.642456,11.89,5.74,7.04,,,,,,,,,,9.188353289874676,1.498287084113258
HMSP,Consumer Non-Cyclicals,tidak,80.841.063.445.500,14347013907.714844,22.18,13.0,24.8,,,,,,,,,,10.097954290190295,1.6197793744507782
HRTA,Consumer Cyclicals,tidak,11.467.103.376.000,28553724410.980225,34.45,9.17,6.26,,,,,,,,,,9.188353289874676,1.498287084113258
ICBP,Consumer Non-Cyclicals,ya,79.009.426.700.000,43924022875.0,12.52,6.81,12.32,,,,,,,,,,10.097954290190295,1.6197793744507782
IMPC,Industrials,ya,121.893.540.000.000,45793852250.0,18.25,11.68,14.52,,,,,,,,,,6.891959068295139,1.8900519565160445
IPCC,Infrastructures,ya,2.200.245.632.200,1298729862.810669,18.26,12.66,127.67,,,,,,,,,,10.786604321351023,1.632544489754265
ISAT,Infrastructures,ya,64.340.367.859.215,42838630150.0,13.95,4.64,9.75,,,,,,,,,,10.786604321351023,1.632544489754265
ITMG,Energy,ya,30.112.501.250.000,68315507000.0,10.01,7.94,10.15,,,,,,,,,,9.458133096322559,12733.079698350695
JARR,Consumer Non-Cyclicals,tidak,14.907.524.055.750,4275234825.0,12.77,6.31,32.21,,,,,,,,,,10.097954290190295,1.6197793744507782
JPFA,Consumer Non-Cyclicals,ya,28.730.109.242.450,58355149875.0,23.34,13.07,29.02,,,,,,,,,,10.097954290190295,1.6197793744507782
JTPE,Industrials,ya,4.316.791.500.000,1446095875.0,23.21,12.74,12.63,,,,,,,,,,6.891959068295139,1.8900519565160445
KLBF,Healthcare,ya,36.046.311.485.800,58965851689.02527,14.06,11.31,37.37,,,,,,,,,,12.633935710858788,1.7280584095796077
KRAS,Basic Materials,tidak,5.610.455.101.000,1353787505.0,44.86,11.77,33.91,,,,,,,,,,8.160664661774092,2.445025625154248
LPPF,Consumer Cyclicals,ya,3.613.246.848.000,3449675925.0,76.75,11.34,31.11,,,,,,,,,,9.188353289874676,1.498287084113258
LSIP,Consumer Non-Cyclicals,ya,11.764.437.839.625,16899666775.0,13.49,12.15,34.25,,,,,,,,,,10.097954290190295,1.6197793744507782
MAIN,Consumer Non-Cyclicals,ya,1.914.131.250.000,1270529922.6855469,13.67,6.9,3.1,,,,,,,,,,10.097954290190295,1.6197793744507782
MAPA,Consumer Cyclicals,ya,17.387.440.000.000,10879394450.0,19.46,12.14,8.93,,,,,,,,,,9.188353289874676,1.498287084113258
MAPI,Consumer Cyclicals,ya,20.169.000.000.000,98752312375.0,12.96,6.8,5.18,,,,,,,,,,9.188353289874676,1.498287084113258
MARK,Industrials,ya,3.021.000.246.450,18798860575.0,30.18,27.55,118.52,,,,,,,,,,6.891959068295139,1.8900519565160445
MIDI,Consumer Non-Cyclicals,ya,9.161.270.775.200,7507397942.402344,18.05,8.97,14.75,,,,,,,,,,10.097954290190295,1.6197793744507782
MIKA,Healthcare,ya,22.530.120.030.000,23863357845.93628,16.2,14.3,101.7,,,,,,,,,,12.633935710858788,1.7280584095796077
MLBI,Consumer Non-Cyclicals,tidak,12.273.275.000.000,2567976049.951172,87.14,34.23,33.4,,,,,,,,,,10.097954290190295,1.6197793744507782
MSIN,Consumer Cyclicals,ya,48.540.942.564.000,40420585820.0,14.23,11.56,25.44,,,,,,,,,,9.188353289874676,1.498287084113258
MSTI,Technology,ya,4.238.211.870.000,1870147331.168213,23.96,15.86,10.07,,,,,,,,,,12.101348513255012,1.5632451910338614
MTDL,Technology,ya,6.936.439.790.525,1307405692.809143,12.89,6.2,3.0,,,,,,,,,,12.101348513255012,1.5632451910338614
MYOR,Consumer Non-Cyclicals,ya,38.121.583.031.125,12127567702.808228,15.6,9.13,7.41,,,,,,,,,,10.097954290190295,1.6197793744507782
NCKL,Basic Materials,ya,56.157.754.000.000,72041824825.0,20.0,15.4,146.94,,,,,,,,,,8.160664661774092,2.445025625154248
NICL,Basic Materials,ya,9.306.189.293.625,7500720490.0,44.36,39.45,23.38,,,,,,,,,,8.160664661774092,2.445025625154248
NISP,Financials,tidak,30.098.403.242.400,6627778475.0,11.53,1.64,24.07,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
NRCA,Infrastructures,ya,1.535.198.881.560,2431040226.501465,12.84,6.04,4.86,,,,,,,,,,10.786604321351023,1.632544489754265
OMED,Healthcare,ya,7.792.948.800.000,5061648641.188278,13.33,11.47,17.78,,,,,,,,,,12.633935710858788,1.7280584095796077
PBSA,Infrastructures,ya,2.610.000.000.000,1262410850.0,32.42,21.05,71.97,,,,,,,,,,10.786604321351023,1.632544489754265
POWR,Infrastructures,ya,11.824.059.660.000,5604679675.0,10.08,6.05,13.02,,,,,,,,,,10.786604321351023,1.632544489754265
PTBA,Energy,ya,33.064.292.047.500,59720261950.0,12.95,6.67,6.87,,,,,,,,,,9.458133096322559,12733.079698350695
RAJA,Energy,ya,17.500.121.550.000,112945500100.0,10.64,5.7,10.22,,,,,,,,,,9.458133096322559,12733.079698350695
RATU,Energy,ya,14.389.785.140.000,37556068150.0,22.0,10.2,121.22,,,,,,,,,,9.458133096322559,12733.079698350695
RMKE,Energy,ya,14.087.500.000.000,44628428867.79785,12.35,8.51,10.91,,,,,,,,,,9.458133096322559,12733.079698350695
ROTI,Consumer Non-Cyclicals,ya,3.990.285.332.760,1007809775.0,12.64,7.31,6.88,,,,,,,,,,10.097954290190295,1.6197793744507782
SCMA,Consumer Cyclicals,tidak,18.492.642.376.250,7621425679.0737915,10.15,7.89,11.19,,,,,,,,,,9.188353289874676,1.498287084113258
SIDO,Healthcare,ya,11.520.000.000.000,12831055400.0,35.1,31.38,178.53,,,,,,,,,,12.633935710858788,1.7280584095796077
SMSM,Consumer Cyclicals,ya,9.818.541.625.200,2697164025.0,24.18,20.22,89.95,,,,,,,,,,9.188353289874676,1.498287084113258
SRTG,Financials,ya,24.348.878.825.000,5872185459.087524,12.42,11.71,255.34,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
SSMS,Consumer Non-Cyclicals,tidak,13.144.500.000.000,11607677950.0,39.46,8.54,7.84,,,,,,,,,,10.097954290190295,1.6197793744507782
TAPG,Consumer Non-Cyclicals,ya,30.175.860.800.000,36012552441.0437,29.2,23.61,145.93,,,,,,,,,,10.097954290190295,1.6197793744507782
TBIG,Infrastructures,tidak,39.536.464.031.525,3419859328.375244,11.21,3.09,20.65,,,,,,,,,,10.786604321351023,1.632544489754265
TEBE,Energy,ya,1.619.100.000.000,1098498800.0,10.83,10.3,27.47,,,,,,,,,,9.458133096322559,12733.079698350695
TINS,Basic Materials,ya,26.662.957.365.320,192946018050.0,11.56,6.43,13.32,,,,,,,,,,8.160664661774092,2.445025625154248
TLKM,Infrastructures,ya,278.364.828.646.000,590663907510.9473,14.04,7.45,19.85,,,,,,,,,,10.786604321351023,1.632544489754265
TOTL,Infrastructures,ya,3.546.400.000.000,3301284925.0,30.86,10.23,52.83,,,,,,,,,,10.786604321351023,1.632544489754265
TOWR,Infrastructures,tidak,28.130.697.375.956,43099868950.298004,13.58,4.76,27.6,,,,,,,,,,10.786604321351023,1.632544489754265
TPIA,Basic Materials,ya,154.423.107.989.220,2201105650497.953,25.68,9.97,51.89,,,,,,,,,,8.160664661774092,2.445025625154248
TPMA,Energy,ya,1.876.469.718.190,3680256560.0,11.91,6.25,15.75,,,,,,,,,,9.458133096322559,12733.079698350695
TSPC,Healthcare,ya,10.688.378.391.000,2465922250.0,13.48,10.1,39.53,,,,,,,,,,12.633935710858788,1.7280584095796077
ULTJ,Consumer Non-Cyclicals,ya,17.572.916.088.000,5378534900.0,16.27,14.62,15.43,,,,,,,,,,10.097954290190295,1.6197793744507782
UNTR,Industrials,ya,108.360.425.700.800,150721287250.0,14.36,8.34,11.28,,,,,,,,,,6.891959068295139,1.8900519565160445
UNVR,Consumer Non-Cyclicals,ya,58.560.250.000.000,40504704963.671265,170.75,38.17,23.92,,,,,,,,,,10.097954290190295,1.6197793744507782
VICI,CONSUMER GOODS INDUSTRY,ya,4.125.420.000.000,1215331220.0,12.52,10.22,9.69,,,,,,,,,,33.23672385320812,3.7993110091288997
WBSA,Transportation & Logistic,ya,11.537.750.000.000,40789534575.0,10.02,2.86,2.14,,,,,,,,,,9.861589360740501,2.306618910758991
WIIM,Consumer Non-Cyclicals,tidak,4.000.259.512.800,3609788507.2784424,18.93,13.08,6.57,,,,,,,,,,10.097954290190295,1.6197793744507782
