Ticker,Sektor,Syariah,MktCap,Value_MA20,ROE,ROA,NPM,CAR,NPL,EPS_5Y,DPS_5Y,FCF_5Y,PR_5Y,DY_5Y,ICR,DebtEBITDA,Median_PER_3Y,Median_PBV_3Y
UNTR,Industrials,ya,108.360.425.700.800,110810350500.0,14.36,8.34,11.28,,,"[null, 6002.57722095392, 5997.676267770688, 5536.908600725379, 3989.1966759496254]","[808.0, 1723.0, 6886.0, 2236.0, 2051.0]","[null, 23605522000000.0, 7201129000000.0, 16358111000000.0, 13043351000000.0]","[null, 0.287, 1.1481, 0.4038, 0.5141]","[null, null, null, 0.0946, 0.072]",16.53,,6.814580333815407,1.5713128026517986
IPCM,Infrastructures,ya,1.701.709.174.200,211373500.0,14.45,11.46,13.32,,,"[null, 28.507139829463345, 29.83304133614161, 31.57026426166869, 37.17027690923522]","[13.61, 20.95, 17.74, 26.21, 19.92]","[null, 123057018000.0, -30764795000.0, 303309062000.0, 326017561000.0]","[null, 0.7349, 0.5946, 0.8302, 0.5359]","[null, null, null, 0.1071, 0.0563]",28.32,,9.02931449602944,1.6837602785556607
TSPC,Healthcare,ya,11.004.068.892.000,1973338850.0,14.56,10.75,10.04,,,"[null, 113.10584371571481, 171.13599730617028, 321.4356437571748, 312.61081864180204]","[80.0, 75.0, 150.0, 100.0, 200.0]","[null, -106328153109.0, 872808106970.0, 1321594933803.0, 866350098033.0]","[null, 0.6631, 0.8765, 0.3111, 0.6398]","[null, null, null, 0.043, 0.0702]",28.51,,12.68090971743625,1.7629755962019373
BRIS,Financials,ya,81.060.482.809.225,43995032137.994995,14.57,1.66,39.22,18.0,2.5,"[null, 93.13277321993735, 123.19517407457147, 150.225885271512, 162.49787649205498]","[null, 17.952131, 9.235314, 18.547045, 22.781273]","[null, -156267000000.0, 223160000000.0, 2742130000000.0, 11207481000000.0]","[null, 0.1928, 0.075, 0.1235, 0.1402]","[null, null, null, 0.007, 0.0104]",,,6.918097189401239,0.9911635365807598
KLBF,Healthcare,ya,40.493.583.682.100,49030911025.0,14.82,11.94,10.38,,,"[null, 74.4879047343202, 60.85666193670319, 71.7669171952152, 79.75469340917367]","[28.0, 35.0, 38.0, 31.0, 36.0]","[null, 401788866092.0, 1729123494164.0, 3534844000000.0, 2460783000000.0]","[null, 0.4699, 0.6244, 0.432, 0.4514]","[null, null, null, 0.0233, 0.0299]",136.57,,12.68090971743625,1.7629755962019373
BFIN,Financials,tidak,12.031.506.896.000,16560519288.465881,14.85,6.21,28.16,18.0,2.5,"[null, 113.51270440411801, 112.50713110156099, 106.28548267420355, 111.44727953891764]","[25.0, 38.0, 60.0, 55.0, 67.0]","[null, -3791425000000.0, -85792000000.0, 344069000000.0, 1241325000000.0]","[null, 0.3348, 0.5333, 0.5175, 0.6012]","[null, null, null, 0.0665, 0.1007]",10.52,,6.918097189401239,0.9911635365807598
BREN,Infrastructures,tidak,596.686.541.200.000,323098061600.0,14.96,3.42,21.84,,,"[null, 0.000681165547611473, 0.000802940539777688, 0.0009127555548113793, 0.000988178160603357]","[null, null, 3.91, 5.81696, null]","[null, 185981000.0, 198595000.0, 151665000.0, 92693000.0]","[null, null, 4869.6009, 6372.9659, null]","[null, null, null, 0.0006, null]",3.68,,9.02931449602944,1.6837602785556607
MYOR,Consumer Non-Cyclicals,ya,38.121.583.031.125,14735022175.0,15.6,9.13,7.41,,,"[null, 87.83039388924213, 144.09345426441683, 134.96885399073037, 129.38547422082593]","[52.0, 21.0, 35.0, 55.0, 55.0]","[null, 110355860242.0, 2733452910514.0, -2272832827387.0, 2376315595703.0]","[null, 0.2391, 0.2429, 0.4075, 0.4251]","[null, null, null, 0.0203, 0.0258]",7.1,,10.431729504905098,2.019299212056525
ADMR,Energy,ya,75.632.313.275.000,60002763675.0,15.79,9.38,27.88,,,"[null, 0.008126900942173785, 0.01078759160298869, 0.010680799846261215, 0.0065442706088001115]","[null, null, null, null, 47.82]","[null, 458417068.0, 161857150.0, 118465000.0, -484706000.0]","[null, null, null, null, 7307.155]","[null, null, null, null, 0.0315]",2573.45,,9.290928206420297,12570.494346641131
DSNG,Consumer Non-Cyclicals,ya,18.602.723.412.000,16441114875.0,15.81,10.45,14.95,,,"[null, 113.71104082422048, 80.2614829422439, 109.1970270719607, 174.58527941998386]","[12.5, 20.0, 30.0, 22.0, 24.0]","[null, -510534000000.0, -369822000000.0, 86481000000.0, 951908000000.0]","[null, 0.1759, 0.3738, 0.2015, 0.1375]","[null, null, null, 0.0239, 0.0156]",7.18,,10.431729504905098,2.019299212056525
AKRA,Energy,ya,31.716.089.868.000,23203462848.118896,15.84,6.76,5.37,,,"[null, 121.08967919597367, 139.80195188003609, 112.22014491672763, 124.76464356533634]","[27.0, 42.0, 150.0, 100.0, 100.0]","[null, 2338661858000.0, 2853380374000.0, 159237498000.0, 2875560122000.0]","[null, 0.3469, 1.0729, 0.8911, 0.8015]","[null, null, null, 0.0998, 0.082]",45.49,,9.290928206420297,12570.494346641131
TMAS,Transportation & Logistic,ya,7.188.489.000.000,388191315.0,15.84,9.44,11.48,,,"[null, 23.69351376201264, 13.362511283449578, 8.291772540978958, 7.625144662181348]","[4.382, 13.991999999999999, 8.0, 8.0, 4.0]","[null, 1412825000000.0, 674273000000.0, -96746000000.0, -573744000000.0]","[null, 0.5905, 0.5987, 0.9648, 0.5246]","[null, null, null, 0.0598, 0.0299]",7.84,,6.874085083154332,1.7723643131784446
CNMA,Consumer Cyclicals,ya,8.667.880.000.000,1183571345.0,16.24,10.42,12.03,,,"[null, 5.528151039167187, 8.258436902671907, 8.753009878711946, 8.462483677991136]","[null, null, null, 12.745097999999999, 8.82353]","[null, 1203636000000.0, 975092000000.0, 733663000000.0, 1086686000000.0]","[null, null, null, 1.4561, 1.0427]","[null, null, null, 0.0743, 0.0801]",7.69,,9.975013185775808,2.217587767517111
ULTJ,Consumer Non-Cyclicals,ya,17.572.916.088.000,5610067100.0,16.27,14.62,15.43,,,"[null, 93.04310420517507, 112.37826860548681, 109.06612649214556, 130.09242332941196]","[85.0, 25.0, 30.0, 40.0, 45.0]","[null, 799000000.0, 1153601000000.0, 1004048000000.0, 1261697000000.0]","[null, 0.2687, 0.267, 0.3667, 0.3459]","[null, null, null, 0.0229, 0.0312]",13650.12,,10.431729504905098,2.019299212056525
CLEO,Consumer Non-Cyclicals,ya,9.360.000.000.000,1399113150.0,16.51,12.65,13.51,,,"[null, 9.383348800911323, 14.213904167306078, 20.36287502085898, 16.77517440982098]","[2.5, 0.5, 0.825, 2.525, 2.5]","[null, -91612228676.0, 123850874724.0, -28306116695.0, 109154974115.0]","[null, 0.0533, 0.058, 0.124, 0.149]","[null, null, null, 0.0032, 0.0054]",19.59,,10.431729504905098,2.019299212056525
CPIN,Consumer Non-Cyclicals,ya,65.755.980.000.000,34179155991.882324,16.53,12.31,7.98,,,"[null, 183.15975978315197, 150.93012975098083, 226.42553969996342, 344.1799609708501]","[112.0, 108.0, 100.0, 30.0, 108.0]","[null, -982784000000.0, 1662751000000.0, 3404188000000.0, 4002566000000.0]","[null, 0.5896, 0.6626, 0.1325, 0.3138]","[null, null, null, 0.0067, 0.0251]",16.47,,10.431729504905098,2.019299212056525
MIKA,Healthcare,ya,26.771.901.887.500,18042759350.0,16.7,14.73,25.42,,,"[null, 71.39988206843647, 65.77653136217126, 82.27743375485807, 98.09464138280882]","[36.0, 36.0, 37.0, 34.0, 43.0]","[null, 283172396245.0, 760094729259.0, 1025513767421.0, 958838192193.0]","[null, 0.5042, 0.5625, 0.4132, 0.4384]","[null, null, null, 0.0136, 0.0181]",106.05,,12.68090971743625,1.7629755962019373
BBRI,Financials,tidak,448.629.800.645.130,708981857850.0,17.12,2.65,23.91,18.0,2.5,"[null, 273.3810107803161, 312.707186635175, 266.2267323818301, 267.410450834291]","[89.91268, 174.2515, 288.22139000000004, 454.0, 345.4]","[null, 86967772000000.0, -13148750000000.0, 13948520000000.0, 8272747000000.0]","[null, 0.6374, 0.9217, 1.7053, 1.2916]","[null, null, null, 0.1301, 0.1005]",,,6.918097189401239,0.9911635365807598
HEXA,Industrials,ya,3.729.600.000.000,788542150.0,17.17,6.68,7.19,,,"[null, 0.06583590678595715, 0.059272646340967856, 0.06286386328044286, 0.036421694709442856]","[1197.2, 799.07, 768.3, 714.7, 462.25433]","[null, 50043706.0, -36700515.0, 38514225.0, 16968180.0]","[null, 12137.2977, 12962.1343, 11369.0117, 12691.7304]","[null, null, null, 0.1486, 0.1075]",6.47,,6.814580333815407,1.5713128026517986
BMRI,Financials,tidak,405.635.999.982.440,876470423900.708,17.19,1.99,28.31,18.0,2.5,"[null, 441.9431900329723, 589.7940467124862, 597.4606921776965, 603.1321931633601]","[110.1359, 180.3178, 264.6684, 353.95752, 466.18436]","[null, 92748840000000.0, -74824994000000.0, -88102174000000.0, 199035811000000.0]","[null, 0.408, 0.4487, 0.5924, 0.7729]","[null, null, null, 0.0759, 0.1015]",,,6.918097189401239,0.9911635365807598
MIDI,Consumer Non-Cyclicals,ya,11.501.741.411.200,9043197290.0,17.45,8.68,3.84,,,"[null, 11.649196117234784, 15.363137448805773, 16.344003980927933, 23.6734483280054]","[1.976327, 2.715672, 3.943175, 4.65, 7.35]","[null, 800568000000.0, 420276000000.0, 437205000000.0, 515344000000.0]","[null, 0.2331, 0.2567, 0.2845, 0.3105]","[null, null, null, 0.011, 0.0188]",23.19,,10.431729504905098,2.019299212056525
AMRT,Consumer Non-Cyclicals,tidak,54.812.342.244.000,195586589950.0,17.6,8.01,2.69,,,"[null, 68.35199188165976, 82.0146006267498, 75.76017220408082, 81.8315162350033]","[9.3, 18.78, 24.06, 28.68, 34.11]","[null, 3041673000000.0, 2286652000000.0, 3224239000000.0, 2680157000000.0]","[null, 0.2748, 0.2934, 0.3786, 0.4168]","[null, null, null, 0.0102, 0.0173]",32.93,,10.431729504905098,2.019299212056525
IMPC,Industrials,ya,121.893.540.000.000,40992611725.0,18.25,11.68,14.52,,,"[null, 5.680929114028457, 8.138133962366462, 9.892141593769965, 11.47328838411248]","[0.545455, 2.0, 33.0, 4.5, null]","[null, 15602209430.0, 287344492903.0, 220757300477.0, 570805272359.0]","[null, 0.3521, 4.055, 0.4549, null]","[null, null, null, 0.0122, null]",9.15,,6.814580333815407,1.5713128026517986
AVIA,Basic Materials,ya,23.914.072.461.600,4725150240.0,18.32,15.77,21.51,,,"[null, 23.838711067821652, 28.1342368510768, 28.128976239537792, 29.499353892607157]","[null, 18.0, 22.0, 22.0, 22.0]","[null, 1210621000000.0, 1316398000000.0, 1277446000000.0, 1235615000000.0]","[null, 0.7551, 0.782, 0.7821, 0.7458]","[null, null, null, 0.0599, 0.045]",862.37,,6.62553339007153,1.7812173699404212
CSRA,Consumer Non-Cyclicals,ya,1.865.500.000.000,346593100.0,18.32,10.66,14.23,,,"[null, null, null, 103.4494817278301, 125.8569957405448]","[25.0, 35.0, null, 14.63, 12.2]","[null, null, null, 32627379322.0, 148702261736.0]","[null, null, null, 0.1414, 0.0969]","[null, null, null, 0.0205, 0.013]",,,10.431729504905098,2.019299212056525
NCKL,Basic Materials,ya,65.938.037.000.000,62478972325.0,18.43,13.64,35.65,,,"[null, 93.10351922751717, 89.37828867446174, 101.3209429360839, 142.13492883135171]","[null, null, 22.189, 26.716, 30.357]","[null, -2886059000000.0, 2297439000000.0, 4403034000000.0, 7661671000000.0]","[null, null, 0.2483, 0.2637, 0.2136]","[null, null, null, 0.0371, 0.027]",19.38,,6.62553339007153,1.7812173699404212
IPCC,Infrastructures,ya,2.391.176.038.300,1129901875.0,18.85,12.46,27.58,,,"[null, 90.20418341009373, 105.19525217346116, 117.16633154330923, 140.6371420416685]","[null, 35.61, 71.47, 86.8113, 95.1063]","[null, 311063475000.0, 221873707000.0, 355324018000.0, 415897668000.0]","[null, 0.3948, 0.6794, 0.7409, 0.6763]","[null, null, null, 0.1344, 0.0687]",10.49,,9.02931449602944,1.6837602785556607
WIIM,Consumer Non-Cyclicals,tidak,4.000.259.512.800,3864388728.600464,18.93,13.08,6.57,,,"[null, 119.54731953658596, 236.66624562622306, 142.13886415083394, 200.8341808909331]","[20.5, 21.6, 72.9, 107.1, 64.8]","[null, 236908636583.0, -329692804595.0, -48135951306.0, 137216456429.0]","[null, 0.1807, 0.308, 0.7535, 0.3227]","[null, null, null, 0.1766, 0.0417]",23.02,,10.431729504905098,2.019299212056525
MAPA,Consumer Cyclicals,ya,17.387.440.000.000,14602106150.0,19.46,12.14,8.93,,,"[null, 41.56429000030519, 49.268618395902905, 48.017904045068185, 60.674539635695595]","[null, null, 4.0, 5.0, 4.0]","[null, 1270664000000.0, 320782000000.0, 1619638000000.0, 2246032000000.0]","[null, null, 0.0812, 0.1041, 0.0659]","[null, null, null, 0.0047, 0.006]",15.89,,9.975013185775808,2.217587767517111
ANTM,Basic Materials,ya,89.875.060.071.500,515040841600.0,19.7,13.72,8.52,,,"[null, 191.41715853841484, 114.18171164502078, 164.97125692520774, 227.9888336198549]","[16.73994, 38.73666, 79.5016, 128.0712, 151.77267]","[null, 3397036000000.0, 2917959000000.0, 2456849000000.0, 4153893000000.0]","[null, 0.2024, 0.6963, 0.7763, 0.6657]","[null, null, null, 0.0882, 0.0482]",125.24,,6.62553339007153,1.7812173699404212
JPFA,Consumer Non-Cyclicals,ya,29.081.906.498.480,41178484891.899414,20.0,9.99,6.59,,,"[null, 162.48405802161423, 104.93299192389067, 355.80526830028475, 444.04320068186587]","[40.0, 60.0, 50.0, 70.0, 70.0]","[null, -718265000000.0, 288617000000.0, 3120711000000.0, 2193482000000.0]","[null, 0.3693, 0.4765, 0.1967, 0.1576]","[null, null, null, 0.0396, 0.0283]",8.66,,10.431729504905098,2.019299212056525
BBCA,Financials,tidak,713.947.452.075.000,1196410109750.0,20.43,3.63,54.78,18.0,2.5,"[null, 331.22734514151506, 387.8734895775838, 440.8033232830224, 461.11851114854613]","[111.4, 155.0, 212.5, 277.5, 305.0]","[null, 30424257000000.0, 52964427000000.0, 49647050000000.0, 75057575000000.0]","[null, 0.468, 0.5479, 0.6295, 0.6614]","[null, null, null, 0.0311, 0.0394]",,,6.918097189401239,0.9911635365807598
ARNA,Industrials,ya,3.626.666.902.144,1879406120.0,20.7,13.89,13.74,,,"[null, 81.87446944086673, 63.296075134102786, 60.42112847378101, 56.886580642342665]","[30.0, 45.0, 55.0, 43.0, 43.0]","[null, 318122883896.0, 144218316634.0, 423410123921.0, 361425319489.0]","[null, 0.5496, 0.8689, 0.7117, 0.7559]","[null, null, null, 0.0726, 0.0884]",72.0,,6.814580333815407,1.5713128026517986
AADI,Energy,ya,90.327.944.416.000,152444754375.0,20.83,13.32,15.48,,,"[null, 0.3039664046462031, 0.15099301378284308, 0.12079561877174007, 0.09809475335029737]","[null, null, null, null, 538.08]","[null, 3015253000.0, 323003000.0, 827398000.0, 534629000.0]","[null, null, null, null, 5485.3087]","[null, null, null, null, 0.0771]",21.5,,9.290928206420297,12570.494346641131
KEJU,Consumer Non-Cyclicals,ya,3.065.624.999.455,212940550.0,21.23,14.34,11.91,,,"[null, 20.887388617050586, 14.297797742873387, 26.138972888075788, 31.934489772858974]","[null, null, 20.0, 14.133333, 13.0]","[null, -19812004848.0, 35037768280.0, 212260375541.0, 43928238100.0]","[null, null, 1.3988, 0.5407, 0.4071]","[null, null, null, 0.0183, 0.0197]",568.46,,10.431729504905098,2.019299212056525
CUAN,Energy,tidak,134.902.680.000.000,321486815160.0,21.48,5.0,11.07,,,"[null, 0.0003264671826806535, 0.0001389778582355276, -0.00011928393600157618, -0.00016092267646525605]","[null, null, null, null, 0.321444]","[null, 23775851.729136, -12907000.0, -172899000.0, -541339000.0]","[null, null, null, null, null]","[null, null, null, null, 0.0001]",2.83,,9.290928206420297,12570.494346641131
DRMA,Consumer Cyclicals,ya,4.611.764.654.000,1169444850.0,22.23,15.22,10.99,,,"[null, 74.05507278366231, 119.96185048319421, 123.22328319942093, 129.99879841439042]","[null, 14.97, 20.94, 36.4, 43.0]","[null, -156891611262.0, 405722548770.0, 219559565306.0, 610058582694.0]","[null, 0.2021, 0.1746, 0.2954, 0.3308]","[null, null, null, 0.0442, 0.0437]",26.86,,9.975013185775808,2.217587767517111
SUNI,Energy,ya,1.550.000.000.000,300509675.0,22.43,17.31,19.71,,,"[9.63501726890132, null, 41.83366421037581, 86.02901710454049, 80.40509467936455]","[null, null, 3.0, 4.4, 20.78]","[-2459428145.0, null, -151574082055.0, 68846070056.0, -106806247739.0]","[null, null, 0.0717, 0.0511, 0.2584]","[null, null, null, 0.0057, 0.0255]",925.29,,9.290928206420297,12570.494346641131
JTPE,Industrials,ya,4.316.791.500.000,781054875.0,23.21,12.74,12.63,,,"[null, 18.420024787825973, 31.682605710051128, 34.715450416470695, 58.07580344527521]","[3.75, 5.5, 22.5, 13.0, 17.0]","[null, 23858180427.0, 373078664309.0, 248596769654.0, 756803974364.0]","[null, 0.2986, 0.7102, 0.3745, 0.2927]","[null, null, null, 0.0633, 0.0296]",172.32,,6.814580333815407,1.5713128026517986
SOHO,Healthcare,ya,24.431.488.600.750,284569450.0,23.24,9.75,5.57,,,"[null, 28.025239904205964, 29.200333361625333, 36.408701231506065, 45.49918683309576]","[43.3, 11.8, 13.770000000000001, 12.0, 23.7]","[null, 318573000000.0, 155534000000.0, -218866000000.0, 837413000000.0]","[null, 0.421, 0.4716, 0.3296, 0.5209]","[null, null, null, 0.02, 0.0177]",1727.77,,12.68090971743625,1.7629755962019373
HMSP,Consumer Non-Cyclicals,tidak,87.238.557.675.000,11856715546.300049,23.31,12.82,5.89,,,"[null, 54.36596072196582, 69.609223396643, 57.1344899874286, 56.82225992854254]","[72.8, 63.3, 54.7, 69.3, 56.2]","[null, 5176514000000.0, 4580237000000.0, 3337281000000.0, 6654045000000.0]","[null, 1.1643, 0.7858, 1.2129, 0.989]","[null, null, null, 0.1291, 0.0839]",339.48,,10.431729504905098,2.019299212056525
MSTI,Technology,ya,4.238.211.870.000,1529835425.0,23.96,15.86,10.07,,,"[null, 127.0752287536772, 142.6143312527342, 168.94039155560196, 174.89915549744566]","[null, null, null, 99.84, 134.0]","[null, 92046837890.0, 213221580463.0, 874551643383.0, 665772796911.0]","[null, null, null, 0.591, 0.7662]","[null, null, null, 0.0652, 0.0865]",93.1,,8.4983944914197,1.6911037490412628
ADES,Consumer Non-Cyclicals,ya,11.827.430.840.000,815553500.0,24.71,20.78,27.19,,,"[null, 618.598228597574, 670.8148914993236, 892.1795800217699, 1248.9230744139]","[null, null, null, null, null]","[null, -3243000000.0, 379456000000.0, 260965000000.0, 178231000000.0]","[null, null, null, null, null]","[null, null, null, null, null]",21300.52,,10.431729504905098,2.019299212056525
MERK,Healthcare,ya,1.881.600.000.000,211037650.0,25.0,19.17,20.31,,,"[null, 402.85075980645297, 397.85714955357145, 342.2725429633237, 544.3800832455324]","[122.0, 240.0, 320.0, 320.0, 170.0]","[null, 90138483000.0, 183972315000.0, 38879974000.0, 360646039000.0]","[null, 0.5958, 0.8043, 0.9349, 0.3123]","[null, null, null, 0.0937, 0.0507]",188.25,,12.68090971743625,1.7629755962019373
SMSM,Consumer Cyclicals,ya,10.365.615.792.000,2023436102.9541016,26.11,21.78,21.07,,,"[null, 150.0596055661642, 164.2652047082549, 177.84992585030977, 195.30584970768902]","[70.0, 85.0, 105.0, 135.0, 140.0]","[null, 793572000000.0, 935908000000.0, 937452000000.0, 918478000000.0]","[null, 0.5664, 0.6392, 0.7591, 0.7168]","[null, null, null, 0.0775, 0.0813]",94.21,,9.975013185775808,2.217587767517111
MDIY,Consumer Cyclicals,ya,21.915.641.040.000,453081725.0,26.32,14.55,14.0,,,"[null, 4.062699778550488, 13.07320006562592, 42.67185695342809, 44.236332784358055]","[null, null, null, null, null]","[null, 35785000000.0, 156624000000.0, 60552000000.0, 579645000000.0]","[null, null, null, null, null]","[null, null, null, null, null]",8.94,,9.975013185775808,2.217587767517111
RATU,Energy,ya,16.765.457.215.000,48168423503.95996,26.97,20.08,30.95,,,"[null, 0.0023007742027164116, 0.008984014661741663, 0.005127573802783516, 0.005632195980723193]","[null, null, null, null, 40.0]","[null, -59386.0, 11128159.0, 9995742.0, 20130148.0]","[null, null, null, null, 7102.0256]","[null, null, null, null, 0.0041]",21.9,,9.290928206420297,12570.494346641131
BYAN,Energy,ya,380.000.019.000.000,465179375.0,28.5,22.75,22.4,,,"[null, 0.06519529689442514, 0.037157490722125465, 0.027679284686035765, 0.023037464268126785]","[128.628, 904.56, 586.908, 291.28499999999997, 194.84]","[null, 1931631891.0, 515634669.0, 880237370.0, 806621909.0]","[null, 13874.6205, 15795.1462, 10523.574, 8457.528]","[null, null, null, 0.0145, 0.0124]",239.32,,9.290928206420297,12570.494346641131
CMRY,Consumer Non-Cyclicals,ya,33.643.055.920.000,10788683250.0,29.96,23.26,18.96,,,"[null, 133.69283290355685, 155.139751921629, 191.55981075444575, 255.26125136818237]","[null, 63.01, 70.0, 90.0, 250.0]","[null, -254715000000.0, 918251000000.0, 1330910000000.0, 1242909000000.0]","[null, 0.4713, 0.4512, 0.4698, 0.9794]","[null, null, null, 0.0179, 0.0452]",33254.14,,10.431729504905098,2.019299212056525
HRTA,Consumer Cyclicals,tidak,12.618.418.976.000,37344953850.0,30.29,7.76,2.2,,,"[null, 55.05028717321297, 66.40301401527758, 95.9779560393748, 212.45038720388743]","[8.0, 10.0, 12.0, 15.0, 21.0]","[null, -53348261245.0, -452366463618.0, -615228491402.0, 832615109530.0]","[null, 0.1817, 0.1807, 0.1563, 0.0988]","[null, null, null, 0.0438, 0.0098]",5.01,,9.975013185775808,2.217587767517111
TLDN,Consumer Non-Cyclicals,ya,8.091.581.375.000,380787875.0,30.36,18.39,20.41,,,"[null, 44.725715115538016, 35.15310537495559, 63.769009321122965, 74.88209047589105]","[null, 6.17, 13.52, 12.21, 46.5]","[null, 668864607000.0, 913866720000.0, 732601405000.0, 1176400428000.0]","[null, 0.138, 0.3846, 0.1915, 0.621]","[null, null, null, 0.0256, 0.0705]",32.04,,10.431729504905098,2.019299212056525
BSSR,Energy,ya,10.413.670.000.000,1378580900.0,30.76,22.69,11.93,,,"[null, 0.09177004285547678, 0.06201761131282247, 0.050077926005355246, 0.032046102177967516]","[435.322, 1907.69225, 691.33575, 642.7348, 500.79742999999996]","[null, 268148434.0, 79124724.0, 100895394.0, 127731453.0]","[null, 20787.745, 11147.4102, 12834.6929, 15627.4054]","[null, null, null, 0.1674, 0.1287]",1036.98,,9.290928206420297,12570.494346641131
PALM,Consumer Non-Cyclicals,ya,5.758.232.051.628,241690540.0,31.1,20.09,17759.0,18.0,2.5,"[null, 15.270345115472155, -210.5562388895027, -126.34339626384002, 117.70697696150793]","[null, 41.515045, null, null, null]","[null, -69359120000.0, -2733545971000.0, -4604090705000.0, 837411844000.0]","[null, 2.7187, null, null, null]","[null, null, null, null, null]",6.68,,10.431729504905098,2.019299212056525
TOTL,Infrastructures,ya,4.074.950.000.000,4128118454.918213,31.15,10.25,10.62,,,"[null, 29.36162215990051, 51.27934889357463, 80.86986274533378, 133.49706027041248]","[10.0, 25.0, 100.0, 40.0, 75.0]","[null, 269904685000.0, 77229922000.0, 642898860000.0, 367183204000.0]","[null, 0.8515, 1.9501, 0.4946, 0.5618]","[null, null, null, 0.0716, 0.0815]",,,9.02931449602944,1.6837602785556607
MARK,Industrials,ya,3.097.000.252.650,11887218342.789612,31.45,27.76,33.9,,,"[null, 63.9715302294278, 41.236231254832774, 74.74003399394769, 75.07343008101054]","[15.0, 50.0, 40.0, 70.0, 70.0]","[null, 161644309672.0, 217519259158.0, 331287185603.0, 225890298318.0]","[null, 0.7816, 0.97, 0.9366, 0.9324]","[null, null, null, 0.0779, 0.0903]",242.12,,6.814580333815407,1.5713128026517986
TAPG,Consumer Non-Cyclicals,ya,41.690.334.000.000,60811444450.0,31.68,25.19,32.47,,,"[null, 149.77016672606402, 80.89539140279695, 158.09727199584674, 191.3566348093393]","[15.11, 25.0, 38.0, 167.0, 165.0]","[null, 2437328000000.0, 766925000000.0, 2651544000000.0, 2808759000000.0]","[null, 0.1669, 0.4697, 1.0563, 0.8623]","[null, null, null, 0.2501, 0.11]",82.98,,10.431729504905098,2.019299212056525
PBSA,Infrastructures,ya,3.450.000.000.000,2647355675.0,34.42,22.49,20.1,,,"[null, 46.85016145528689, 29.238456014533586, 58.08147043818731, 72.32341042532832]","[13.5, 23.5, 120.0, 13.0, 55.0]","[null, 167060266505.0, 153177031917.0, -70945983384.0, 350469102858.0]","[null, 0.5016, 4.1042, 0.2238, 0.7605]","[null, null, null, 0.0403, 0.0367]",275.25,,9.02931449602944,1.6837602785556607
GEMS,Energy,ya,46.617.647.525.000,964248000.0,36.44,21.58,10.7,,,"[null, 0.11566319379336806, 0.08812471199875288, 0.08155930384844143, 0.044348168762012245]","[548.41, 1334.17, 1084.45, 1283.63, 586.15]","[null, 689150828.0, 300793222.0, 465772200.0, 227673438.0]","[null, 11534.9573, 12305.8558, 15738.6091, 13217.0057]","[null, null, null, 0.1286, 0.0721]",58.37,,9.290928206420297,12570.494346641131
SIDO,Healthcare,ya,15.000.000.000.000,15301953090.0,39.39,33.39,30.13,,,"[null, 37.51321704608687, 32.26086488168047, 39.77496538059155, 41.73935627393701]","[33.940895999999995, 36.2, 35.6, 36.0, 43.0]","[null, 928734000000.0, 1005007000000.0, 1105190000000.0, 1194864000000.0]","[null, 0.965, 1.1035, 0.9051, 1.0302]","[null, null, null, 0.068, 0.082]",966.9,,12.68090971743625,1.7629755962019373
SSMS,Consumer Non-Cyclicals,tidak,13.144.500.000.000,9845695027.651978,39.46,8.54,7.84,,,"[null, 154.2070180710654, 39.561981335745855, 79.97556121078303, 142.1238459048529]","[30.49, 154.79000000000002, 74.64, null, 47.24]","[null, 2016762793000.0, 193639299000.0, 495191536000.0, 622031292000.0]","[null, 1.0038, 1.8867, null, 0.3324]","[null, null, null, null, 0.0327]",4.23,,10.431729504905098,2.019299212056525
MLPT,Technology,ya,40.406.250.000.000,933040847.6953125,44.21,8.98,8.77,,,"[null, 202.5680010509495, 123.8004696697068, 193.3126931262122, 166.74857928140872]","[115.0, 290.0, 181.0, 217.0, 139.5]","[null, 99905000000.0, -26117000000.0, 245152000000.0, 546704000000.0]","[null, 1.4316, 1.462, 1.1225, 0.8366]","[null, null, null, 0.0118, 0.0022]",16.25,,8.4983944914197,1.6911037490412628
PBRX,Consumer Cyclicals,tidak,816.317.073.348,420894520.0,44.34,12.55,9.6,,,"[null, 0.0005567303823942658, 0.0002704245638947849, -0.0052032504938546945, -0.0022692956038300144]","[null, null, null, null, null]","[null, 10670063.0, -32753979.0, -5645291.0, -5478295.0]","[null, null, null, null, null]","[null, null, null, null, null]",18.71,,9.975013185775808,2.217587767517111
NICL,Basic Materials,ya,9.306.189.293.625,7881074225.845337,44.36,39.45,23.38,,,"[null, 14.078119666204083, 2.520555187726897, 29.9136322374793, 32.39622750774696]","[null, null, 7.0, 17.5, 42.0]","[null, 4322509651.0, -47530253729.0, 481408917234.0, 472932526952.0]","[null, null, 2.7772, 0.585, 1.2964]","[null, null, null, 0.0708, 0.0348]",2411.64,,6.62553339007153,1.7812173699404212
KRAS,Basic Materials,tidak,5.610.455.101.000,1233422110.0,44.86,11.77,33.91,,,"[null, -0.005632584742724501, -0.00682104893686023, -0.00957839854973607, -0.008807715991642182]","[null, null, null, null, null]","[null, 273888000.0, 136165000.0, 63045000.0, -36463000.0]","[null, null, null, null, null]","[null, null, null, null, null]",3.97,,6.62553339007153,1.7812173699404212
